year,stream_date,stream_title,duration,avg_viewers,peak_viewers,hours_watched,followers_gained,views_gained,twitchtracker_url
2022,2022-10-16,"[Japanese] Classic Tetris World Championship 2022",7h51m,27,50,211,17,,https://twitchtracker.com/classictetris5/streams/39772127751
2022,2022-10-15,"[Japanese] Classic Tetris World Championship 2022",8h59m,15,41,134,36,,https://twitchtracker.com/classictetris5/streams/39769227335
2023,2023-10-15,"[French] Championnat du Monde de Tetris Classique (commenté par Gunter)",6h33m,6,9,39,0,,https://twitchtracker.com/classictetris5/streams/41246219976
2024,2024-06-09,"[FR] Le CTWC 2024 en Français ! Commenté par @GunterTetris, @Civel17 & @Cousinouf",8h30m,8,12,68,5,,https://twitchtracker.com/classictetris5/streams/42441206776
2025,2025-06-08,"[FR] Top 16 du CTWC 2025 en Français ! Commenté par @GunterTetris",7h46m,12,44,93,9,,https://twitchtracker.com/classictetris5/streams/321419888505
2021,2021-11-14,"CTWC 2021 || TOP 8 || Cantonese || !bracket !merch !sponsor",8h8m,9,15,73,22,167,https://twitchtracker.com/classictetris7/streams/44434002861
2024,2024-06-09,"[日本語] Classic Tetris World Championship XV - 3日目 (Top16～決勝)",9h35m,24,38,230,13,,https://twitchtracker.com/classictetris7/streams/41359718951
2024,2024-06-08,"[日本語] Classic Tetris World Championship XV - 2日目",7h50m,19,24,148,4,,https://twitchtracker.com/classictetris7/streams/41357348535
2025,2025-10-17,"Classic Tetris World Championship 2025 | Polish (Polski) Commentary",0h35m,11,16,6,0,,https://twitchtracker.com/classictetris7/streams/315356126551
2025,2025-06-08,"Classic Tetris World Championship 2025 | Polish (Polski) Commentary",5h47m,7,11,40,2,,https://twitchtracker.com/classictetris7/streams/321424032761
2022,2022-10-16,"Classic Tetris World Championship 2022 - Retransmisión en Español!",7h26m,16,23,118,9,,https://twitchtracker.com/classictetris8/streams/40357168521
2022,2022-10-15,"Classic Tetris World Championship 2022 - Retransmisión en Español!",5h48m,11,19,63,7,,https://twitchtracker.com/classictetris8/streams/40352657897
2024,2024-06-09,"Mistrzostwa Świata w Tetrisie Klasycznym 2024 - NA ŻYWO PO POLSKU!",0h59m,6,6,5,0,,https://twitchtracker.com/classictetris8/streams/44324883195
2025,2025-06-08,"Чемпионат мира по классическому тетрису 2025 – русскоязычный рестрим",5h52m,8,10,46,3,,https://twitchtracker.com/classictetris8/streams/321426702329
2021,2021-10-02,"CTWC 2021 || Qualification Showcase || !qual !merch",4h37m,114,154,526,32,538,https://twitchtracker.com/classictetris2/streams/43923062829
2021,2021-10-02,"CTWC 2021 || Qualification Showcase || !qual !merch",1h1m,62,72,63,3,47,https://twitchtracker.com/classictetris2/streams/43921483869
2021,2021-10-02,"CTWC 2021 || Qualification Showcase || !qual !merch",5h44m,170,288,974,50,746,https://twitchtracker.com/classictetris2/streams/43912728957
2023,2023-10-15,"CTWC 2023 Day 3: Gold Bracket Top 16 | !jersey !bracket !matcherino",1h51m,637,845,1178,23,,https://twitchtracker.com/classictetris2/streams/42916055707
2021,2021-11-14,"CTWC 2021 || Top 8 || Polish || !bracket !merch !sponsor",4h5m,11,18,44,8,,https://twitchtracker.com/classictetris8/streams/44433972781
