year,round,match_id,game_id,game,player,won,playstyle,final_score,total_lines,no_mullen_score,no_mullen_lines,score_lvl_19_transition,lines_lvl_19_transition,score_lvl_29_transition,lines_lvl_29_transition,score_lvl_39_transition,lines_lvl_39_transition,topout_type,start_level,line_cap,same_piece_sets_active,post,post_post,game_link,twitch,youtube,country_code,country_name
2012,"Top 8",11,45,1,"Harry Hong",No,DAS,574673,227,NULL,NULL,351562,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,223111,NULL,https://youtu.be/a6OvbKxVmn8?t=15,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2012,"Top 8",11,46,1,"Alex Kerr",Yes,DAS,587579,226,574819,220,391979,131,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,195600,NULL,https://youtu.be/a6OvbKxVmn8?t=15,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2012,"Top 8",11,47,2,"Harry Hong",Yes,DAS,455805,245,453800,243,395212,190,NULL,NULL,NULL,NULL,Intentional,9,NULL,No,NULL,NULL,https://youtu.be/a6OvbKxVmn8?t=595,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2012,"Top 8",11,48,2,"Alex Kerr",No,DAS,453080,199,NULL,NULL,424680,190,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/a6OvbKxVmn8?t=595,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2012,"Top 8",11,49,3,"Harry Hong",No,DAS,560983,186,NULL,NULL,453659,131,NULL,NULL,NULL,NULL,Natural,18,NULL,No,107324,NULL,https://youtu.be/a6OvbKxVmn8?t=1263,https://www.twitch.tv/supasayajin,https://www.youtube.com/@SuPaSaYaJiN,USA,"United States"
2012,"Top 8",11,50,3,"Alex Kerr",Yes,DAS,572106,199,572106,199,440866,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,131240,NULL,https://youtu.be/a6OvbKxVmn8?t=1263,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2012,"Top 8",12,51,1,"Bo Steil",No,DAS,147551,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/a6OvbKxVmn8?t=15,https://www.twitch.tv/boSTEIL,https://www.youtube.com/@cancerbullets,USA,"United States"
2012,"Top 8",12,52,1,"Mike Winzinek",Yes,DAS,161800,81,161800,81,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,9,NULL,No,NULL,NULL,https://youtu.be/a6OvbKxVmn8?t=15,https://www.twitch.tv/mikewiz004,NULL,USA,"United States"
2012,"Top 8",12,53,2,"Bo Steil",No,DAS,46531,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/a6OvbKxVmn8?t=595,https://www.twitch.tv/boSTEIL,https://www.youtube.com/@cancerbullets,USA,"United States"
2012,"Top 8",12,54,2,"Mike Winzinek",Yes,DAS,76134,33,49761,25,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/a6OvbKxVmn8?t=595,https://www.twitch.tv/mikewiz004,NULL,USA,"United States"
2012,Semis,13,55,1,Jonas,Yes,DAS,575460,194,94706,39,417499,133,NULL,NULL,NULL,NULL,Natural,18,NULL,No,157961,NULL,https://youtu.be/1m6eUyN7RMw?t=47,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,Semis,13,56,1,"Eli Markstrom",No,DAS,46169,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/1m6eUyN7RMw?t=47,https://www.twitch.tv/elijahn5,https://www.youtube.com/@elijahn5,USA,"United States"
2012,Semis,13,57,2,Jonas,No,DAS,526798,184,NULL,NULL,401138,133,NULL,NULL,NULL,NULL,Natural,18,NULL,No,125660,NULL,https://youtu.be/1m6eUyN7RMw?t=675,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,Semis,13,58,2,"Eli Markstrom",Yes,DAS,529387,220,527107,218,272044,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,257343,NULL,https://youtu.be/1m6eUyN7RMw?t=675,https://www.twitch.tv/elijahn5,https://www.youtube.com/@elijahn5,USA,"United States"
2012,Semis,13,59,3,Jonas,Yes,DAS,473674,150,447274,146,426754,131,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,46920,NULL,https://youtu.be/1m6eUyN7RMw?t=1219,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,Semis,13,60,3,"Eli Markstrom",No,DAS,411214,148,NULL,NULL,396031,131,NULL,NULL,NULL,NULL,Natural,18,NULL,No,15183,NULL,https://youtu.be/1m6eUyN7RMw?t=1219,https://www.twitch.tv/elijahn5,https://www.youtube.com/@elijahn5,USA,"United States"
2012,Semis,14,61,1,"Mike Winzinek",Yes,DAS,402665,225,397570,220,366885,191,NULL,NULL,NULL,NULL,Intentional,9,NULL,No,NULL,NULL,https://youtu.be/1m6eUyN7RMw?t=47,https://www.twitch.tv/mikewiz004,NULL,USA,"United States"
2012,Semis,14,62,1,"Alex Kerr",No,DAS,396451,178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/1m6eUyN7RMw?t=47,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2012,Semis,14,63,2,"Mike Winzinek",Yes,DAS,120992,39,120992,39,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/1m6eUyN7RMw?t=675,https://www.twitch.tv/mikewiz004,NULL,USA,"United States"
2012,Semis,14,64,2,"Alex Kerr",No,DAS,43394,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/1m6eUyN7RMw?t=675,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2012,Finals,15,65,1,Jonas,Yes,DAS,103046,27,103046,27,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/JLHLc-6pTbI?t=1,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,Finals,15,66,1,"Mike Winzinek",No,DAS,58046,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/JLHLc-6pTbI?t=1,https://www.twitch.tv/mikewiz004,NULL,USA,"United States"
2012,Finals,15,67,2,Jonas,Yes,DAS,654610,248,654610,248,515030,193,NULL,NULL,NULL,NULL,Intentional,9,NULL,No,NULL,NULL,https://youtu.be/JLHLc-6pTbI?t=117,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,Finals,15,68,2,"Mike Winzinek",No,DAS,557286,272,NULL,NULL,410267,192,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/JLHLc-6pTbI?t=117,https://www.twitch.tv/mikewiz004,NULL,USA,"United States"
2012,Finals,15,69,3,Jonas,Yes,DAS,327319,88,327319,88,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/JLHLc-6pTbI?t=873,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,Finals,15,70,3,"Mike Winzinek",No,DAS,215214,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/JLHLc-6pTbI?t=873,https://www.twitch.tv/mikewiz004,NULL,USA,"United States"
2013,"Top 8",16,71,1,Jonas,Yes,DAS,593047,200,593047,200,439107,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,153940,NULL,https://youtu.be/qXU2Jf9T7Yw?t=1,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2013,"Top 8",16,72,1,"Ben Mullen",No,DAS,560810,159,NULL,NULL,445650,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,115160,NULL,https://youtu.be/qXU2Jf9T7Yw?t=1,https://www.twitch.tv/benmullen297,https://www.youtube.com/@benmullen295,USA,"United States"
2013,"Top 8",16,73,2,Jonas,No,DAS,103773,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/qXU2Jf9T7Yw?t=592,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2013,"Top 8",16,74,2,"Ben Mullen",Yes,DAS,173328,40,173328,40,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/qXU2Jf9T7Yw?t=592,https://www.twitch.tv/benmullen297,https://www.youtube.com/@benmullen295,USA,"United States"
2013,"Top 8",16,75,3,Jonas,Yes,DAS,512517,169,511597,168,449877,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,62640,NULL,https://youtu.be/qXU2Jf9T7Yw?t=1211,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2013,"Top 8",16,76,3,"Ben Mullen",No,DAS,510129,169,NULL,NULL,401129,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,109000,NULL,https://youtu.be/qXU2Jf9T7Yw?t=1211,https://www.twitch.tv/benmullen297,https://www.youtube.com/@benmullen295,USA,"United States"
2013,"Top 8",17,77,1,Chad,Yes,DAS,169498,56,169498,56,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=4,NULL,NULL,USA,"United States"
2013,"Top 8",17,78,1,"Josh Tolles",No,DAS,108963,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=4,https://www.twitch.tv/joshualtolles,https://www.youtube.com/@bigstupidsuck,USA,"United States"
2013,"Top 8",17,79,2,Chad,No,DAS,328020,166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,13,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=272,NULL,NULL,USA,"United States"
2013,"Top 8",17,80,2,"Josh Tolles",Yes,DAS,467074,201,467074,201,386460,150,NULL,NULL,NULL,NULL,Natural,13,NULL,No,NULL,NULL,https://youtu.be/Ab4kEmKIx3w?t=272,https://www.twitch.tv/joshualtolles,https://www.youtube.com/@bigstupidsuck,USA,"United States"
2013,"Top 8",17,81,3,Chad,Yes,DAS,442960,189,442960,189,338240,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,104720,NULL,https://youtu.be/Ab4kEmKIx3w?t=995,NULL,NULL,USA,"United States"
2013,"Top 8",17,82,3,"Josh Tolles",No,DAS,423778,191,NULL,NULL,338058,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,85720,NULL,https://youtu.be/Ab4kEmKIx3w?t=995,https://www.twitch.tv/joshualtolles,https://www.youtube.com/@bigstupidsuck,USA,"United States"
